Date,Forecast,Lower Bound,Upper Bound
2025-06-06,200.6300048828125,194.5619183207922,206.6980914448328
2025-06-09,200.6300048828125,192.04843456913306,209.21157519649194
2025-06-10,200.6300048828125,190.11977065264063,211.14023911298437
2025-06-11,200.6300048828125,188.49383175873714,212.76617800688786
2025-06-12,200.6300048828125,187.06135083674067,214.19865892888433
2025-06-13,200.6300048828125,185.76628909077604,215.49372067484896
2025-06-16,200.6300048828125,184.5753569056413,216.6846528599837
2025-06-17,200.6300048828125,183.46686425542907,217.79314551019593
2025-06-18,200.6300048828125,182.4257451966898,218.8342645689352
2025-06-19,200.6300048828125,181.44103030770182,219.81897945792318
2025-06-20,200.6300048828125,180.50443856112364,220.75557120450136
2025-06-23,200.6300048828125,179.6095364224487,221.6504733431763
2025-06-24,200.6300048828125,178.7512076394172,222.5088021262078
2025-06-25,200.6300048828125,177.92530397436505,223.33470579125995
2025-06-26,200.6300048828125,177.1284066846791,224.1316030809459
2025-06-27,200.6300048828125,176.35765863464442,224.90235113098058
2025-06-30,200.6300048828125,175.61064304212175,225.64936672350325
2025-07-01,200.6300048828125,174.88529394173057,226.37471582389443
2025-07-02,200.6300048828125,174.1798287782132,227.0801809874118
2025-07-03,200.6300048828125,173.4926967906533,227.7673129749717
2025-07-04,200.6300048828125,172.822538888709,228.437470876916
2025-07-07,200.6300048828125,172.168156040236,229.091853725389
2025-07-08,200.6300048828125,171.52848406237896,229.73152570324604
2025-07-09,200.6300048828125,170.9025732987254,230.3574364668996
2025-07-10,200.6300048828125,170.2895720725998,230.9704376930252
2025-07-11,200.6300048828125,169.68871309278725,231.57129667283775
2025-07-14,200.6300048828125,169.09930219226123,232.16070757336377
2025-07-15,200.6300048828125,168.52070892845703,232.73930083716797
2025-07-16,200.6300048828125,167.95235868225453,233.30765108337047
2025-07-17,200.6300048828125,167.39372597356495,233.86628379206005
